NOME,DATETIME,TEMPERATURA_MEDIA,LATITUDE,LONGITUDE,ALTITUDE
CWB,2021-01-04,19.5,-25.4486111,-49.23055554,922.91
CWB,2021-01-05,22.0,-25.4486111,-49.23055554,922.91
CWB,2021-01-06,23.0,-25.4486111,-49.23055554,922.91
CWB,2021-01-07,23.7,-25.4486111,-49.23055554,922.91
CWB,2021-01-08,21.9,-25.4486111,-49.23055554,922.91
CWB,2021-01-09,22.1,-25.4486111,-49.23055554,922.91
CWB,2021-01-10,22.3,-25.4486111,-49.23055554,922.91
CWB,2021-01-11,22.8,-25.4486111,-49.23055554,922.91
CWB,2021-01-12,24.2,-25.4486111,-49.23055554,922.91
CWB,2021-01-13,21.4,-25.4486111,-49.23055554,922.91
CWB,2021-01-14,19.3,-25.4486111,-49.23055554,922.91
CWB,2021-01-15,21.7,-25.4486111,-49.23055554,922.91
CWB,2021-01-16,21.8,-25.4486111,-49.23055554,922.91
CWB,2021-01-17,22.3,-25.4486111,-49.23055554,922.91
CWB,2021-01-18,20.3,-25.4486111,-49.23055554,922.91
CWB,2021-01-19,18.2,-25.4486111,-49.23055554,922.91
CWB,2021-01-20,19.2,-25.4486111,-49.23055554,922.91
CWB,2021-01-21,20.5,-25.4486111,-49.23055554,922.91
CWB,2021-01-22,20.5,-25.4486111,-49.23055554,922.91
CWB,2021-01-23,20.8,-25.4486111,-49.23055554,922.91
CWB,2021-01-24,19.9,-25.4486111,-49.23055554,922.91
CWB,2021-01-25,20.5,-25.4486111,-49.23055554,922.91
CWB,2021-01-26,22.0,-25.4486111,-49.23055554,922.91
CWB,2021-01-27,22.5,-25.4486111,-49.23055554,922.91
CWB,2021-01-28,21.6,-25.4486111,-49.23055554,922.91
CWB,2021-01-29,22.1,-25.4486111,-49.23055554,922.91
CWB,2021-01-30,21.2,-25.4486111,-49.23055554,922.91
CWB,2021-01-31,23.1,-25.4486111,-49.23055554,922.91
CWB,2021-02-01,23.2,-25.4486111,-49.23055554,922.91
CWB,2021-02-02,23.7,-25.4486111,-49.23055554,922.91
CWB,2021-02-03,24.3,-25.4486111,-49.23055554,922.91
CWB,2021-02-04,24.2,-25.4486111,-49.23055554,922.91
CWB,2021-02-05,20.9,-25.4486111,-49.23055554,922.91
CWB,2021-02-06,19.7,-25.4486111,-49.23055554,922.91
CWB,2021-02-07,19.3,-25.4486111,-49.23055554,922.91
CWB,2021-02-08,18.8,-25.4486111,-49.23055554,922.91
CWB,2021-02-09,19.3,-25.4486111,-49.23055554,922.91
CWB,2021-02-10,19.5,-25.4486111,-49.23055554,922.91
